District (Kecamatan),Regency (Kabupaten/Kota),Province
TEUPAH SELATAN,SIMEULUE,ACEH
SIMEULUE TIMUR,SIMEULUE,ACEH
TEUPAH BARAT,SIMEULUE,ACEH
TEUPAH TENGAH,SIMEULUE,ACEH
SIMEULUE TENGAH,SIMEULUE,ACEH
TELUK DALAM,SIMEULUE,ACEH
SIMEULUE CUT,SIMEULUE,ACEH
SIMEULUE CUT,SIMEULUE,ACEH
SIMEULUE BARAT,SIMEULUE,ACEH
ALAFAN,SIMEULUE,ACEH
PULAU BANYAK,ACEH SINGKIL,ACEH
PULAU BANYAK BARAT,ACEH SINGKIL,ACEH
SINGKIL,ACEH SINGKIL,ACEH
SINGKIL UTARA,ACEH SINGKIL,ACEH
KUALA BARU,ACEH SINGKIL,ACEH
SIMPANG KANAN,ACEH SINGKIL,ACEH
GUNUNG MERIAH,ACEH SINGKIL,ACEH
DANAU PARIS,ACEH SINGKIL,ACEH
SURO,ACEH SINGKIL,ACEH
SINGKOHOR,ACEH SINGKIL,ACEH
KOTA BAHARU,ACEH SINGKIL,ACEH
TRUMON,ACEH SELATAN,ACEH
TRUMON TIMUR,ACEH SELATAN,ACEH
TRUMON TENGAH,ACEH SELATAN,ACEH
BAKONGAN,ACEH SELATAN,ACEH
BAKONGAN TIMUR,ACEH SELATAN,ACEH
KOTA BAHAGIA,ACEH SELATAN,ACEH
KLUET SELATAN,ACEH SELATAN,ACEH
KLUET TIMUR,ACEH SELATAN,ACEH
KLUET UTARA,ACEH SELATAN,ACEH
PASIE RAJA,ACEH SELATAN,ACEH
KLUET TENGAH,ACEH SELATAN,ACEH
TAPAK TUAN,ACEH SELATAN,ACEH
SAMA DUA,ACEH SELATAN,ACEH
SAWANG,ACEH SELATAN,ACEH
MEUKEK,ACEH SELATAN,ACEH
LABUHAN HAJI,ACEH SELATAN,ACEH
LABUHAN HAJI TIMUR,ACEH SELATAN,ACEH
LABUHAN HAJI BARAT,ACEH SELATAN,ACEH
LAWE ALAS,ACEH TENGGARA,ACEH
BABUL RAHMAH,ACEH TENGGARA,ACEH
TANOH ALAS,ACEH TENGGARA,ACEH
LAWE SIGALA-GALA,ACEH TENGGARA,ACEH
BABUL MAKMUR,ACEH TENGGARA,ACEH
SEMADAM,ACEH TENGGARA,ACEH
LEUSER,ACEH TENGGARA,ACEH
BAMBEL,ACEH TENGGARA,ACEH
BUKIT TUSAM,ACEH TENGGARA,ACEH
LAWE SUMUR,ACEH TENGGARA,ACEH
BABUSSALAM,ACEH TENGGARA,ACEH
LAWE BULAN,ACEH TENGGARA,ACEH
BADAR,ACEH TENGGARA,ACEH
DARUL HASANAH,ACEH TENGGARA,ACEH
KETAMBE,ACEH TENGGARA,ACEH
DELENG POKHKISEN,ACEH TENGGARA,ACEH
SERBA JADI,ACEH TIMUR,ACEH
SIMPANG JERNIH,ACEH TIMUR,ACEH
PEUNARON,ACEH TIMUR,ACEH
BIREM BAYEUN,ACEH TIMUR,ACEH
RANTAU SELAMAT,ACEH TIMUR,ACEH
SUNGAI RAYA,ACEH TIMUR,ACEH
PEUREULAK,ACEH TIMUR,ACEH
PEUREULAK TIMUR,ACEH TIMUR,ACEH
PEUREULAK BARAT,ACEH TIMUR,ACEH
RANTO PEUREULAK,ACEH TIMUR,ACEH
IDI RAYEUK,ACEH TIMUR,ACEH
PEUDAWA,ACEH TIMUR,ACEH
BANDA ALAM,ACEH TIMUR,ACEH
IDI TUNONG,ACEH TIMUR,ACEH
DARUL IHSAN,ACEH TIMUR,ACEH
IDI TIMUR,ACEH TIMUR,ACEH
DARUL AMAN,ACEH TIMUR,ACEH
NURUSSALAM,ACEH TIMUR,ACEH
DARUL FALAH,ACEH TIMUR,ACEH
JULOK,ACEH TIMUR,ACEH
INDRA MAKMUR,ACEH TIMUR,ACEH
PANTE BIDARI,ACEH TIMUR,ACEH
SIMPANG ULIM,ACEH TIMUR,ACEH
MADAT,ACEH TIMUR,ACEH
LINGE,ACEH TENGAH,ACEH
ATU LINTANG,ACEH TENGAH,ACEH
JAGONG JEGET,ACEH TENGAH,ACEH
BINTANG,ACEH TENGAH,ACEH
LUT TAWAR,ACEH TENGAH,ACEH
KEBAYAKAN,ACEH TENGAH,ACEH
PEGASING,ACEH TENGAH,ACEH
BIES,ACEH TENGAH,ACEH
BEBESEN,ACEH TENGAH,ACEH
KUTE PANANG,ACEH TENGAH,ACEH
SILIH NARA,ACEH TENGAH,ACEH
KETOL,ACEH TENGAH,ACEH
CELALA,ACEH TENGAH,ACEH
RUSIP ANTARA,ACEH TENGAH,ACEH
JOHAN PAHLAWAN,ACEH BARAT,ACEH
SAMATIGA,ACEH BARAT,ACEH
BUBON,ACEH BARAT,ACEH
ARONGAN LAMBALEK,ACEH BARAT,ACEH
WOYLA,ACEH BARAT,ACEH
WOYLA BARAT,ACEH BARAT,ACEH
WOYLA TIMUR,ACEH BARAT,ACEH
KAWAY XVI,ACEH BARAT,ACEH
MEUREUBO,ACEH BARAT,ACEH
PANTAI CEUREMEN,ACEH BARAT,ACEH
PANTON REU,ACEH BARAT,ACEH
SUNGAI MAS,ACEH BARAT,ACEH
LHOONG,ACEH BESAR,ACEH
LHOKNGA,ACEH BESAR,ACEH
LEUPUNG,ACEH BESAR,ACEH
INDRAPURI,ACEH BESAR,ACEH
KUTA COT GLIE,ACEH BESAR,ACEH
SEULIMEUM,ACEH BESAR,ACEH
KOTA JANTHO,ACEH BESAR,ACEH
LEMBAH SEULAWAH,ACEH BESAR,ACEH
MESJID RAYA,ACEH BESAR,ACEH
DARUSSALAM,ACEH BESAR,ACEH
BAITUSSALAM,ACEH BESAR,ACEH
KUTA BARO,ACEH BESAR,ACEH
MONTASIK,ACEH BESAR,ACEH
BLANG BINTANG,ACEH BESAR,ACEH
INGIN JAYA,ACEH BESAR,ACEH
KRUENG BARONA JAYA,ACEH BESAR,ACEH
SUKA MAKMUR,ACEH BESAR,ACEH
KUTA MALAKA,ACEH BESAR,ACEH
SIMPANG TIGA,ACEH BESAR,ACEH
DARUL IMARAH,ACEH BESAR,ACEH
DARUL KAMAL,ACEH BESAR,ACEH
PEUKAN BADA,ACEH BESAR,ACEH
PULO ACEH,ACEH BESAR,ACEH
GEUMPANG,PIDIE,ACEH
MANE,PIDIE,ACEH
GLUMPANG TIGA,PIDIE,ACEH
GLUMPANG BARO,PIDIE,ACEH
MUTIARA,PIDIE,ACEH
MUTIARA TIMUR,PIDIE,ACEH
TIRO/TRUSEB,PIDIE,ACEH
TANGSE,PIDIE,ACEH
KEUMALA,PIDIE,ACEH
TITEUE,PIDIE,ACEH
SAKTI,PIDIE,ACEH
MILA,PIDIE,ACEH
PADANG TIJI,PIDIE,ACEH
DELIMA,PIDIE,ACEH
GRONG GRONG,PIDIE,ACEH
INDRAJAYA,PIDIE,ACEH
PEUKAN BARO,PIDIE,ACEH
KEMBANG TANJONG,PIDIE,ACEH
SIMPANG TIGA,PIDIE,ACEH
KOTA SIGLI,PIDIE,ACEH
PIDIE,PIDIE,ACEH
BATEE,PIDIE,ACEH
MUARA TIGA,PIDIE,ACEH
SAMALANGA,BIREUEN,ACEH
SIMPANG MAMPLAM,BIREUEN,ACEH
PANDRAH,BIREUEN,ACEH
JEUNIEB,BIREUEN,ACEH
PEULIMBANG,BIREUEN,ACEH
PEUDADA,BIREUEN,ACEH
JULI,BIREUEN,ACEH
JEUMPA,BIREUEN,ACEH
KOTA JUANG,BIREUEN,ACEH
KUALA,BIREUEN,ACEH
JANGKA,BIREUEN,ACEH
PEUSANGAN,BIREUEN,ACEH
PEUSANGAN SELATAN,BIREUEN,ACEH
PEUSANGAN SIBLAH KRUENG,BIREUEN,ACEH
MAKMUR,BIREUEN,ACEH
GANDA PURA,BIREUEN,ACEH
KUTA BLANG,BIREUEN,ACEH
SAWANG,ACEH UTARA,ACEH
NISAM,ACEH UTARA,ACEH
NISAM ANTARA,ACEH UTARA,ACEH
BANDA BARO,ACEH UTARA,ACEH
KUTA MAKMUR,ACEH UTARA,ACEH
SIMPANG KERAMAT,ACEH UTARA,ACEH
SYAMTALIRA BAYU,ACEH UTARA,ACEH
GEUREUDONG PASE,ACEH UTARA,ACEH
MEURAH MULIA,ACEH UTARA,ACEH
MATANGKULI,ACEH UTARA,ACEH
PAYA BAKONG,ACEH UTARA,ACEH
PIRAK TIMU,ACEH UTARA,ACEH
COT GIREK,ACEH UTARA,ACEH
TANAH JAMBO AYE,ACEH UTARA,ACEH
LANGKAHAN,ACEH UTARA,ACEH
SEUNUDDON,ACEH UTARA,ACEH
BAKTIYA,ACEH UTARA,ACEH
BAKTIYA BARAT,ACEH UTARA,ACEH
LHOKSUKON,ACEH UTARA,ACEH
TANAH LUAS,ACEH UTARA,ACEH
NIBONG,ACEH UTARA,ACEH
SAMUDERA,ACEH UTARA,ACEH
SYAMTALIRA ARON,ACEH UTARA,ACEH
TANAH PASIR,ACEH UTARA,ACEH
LAPANG,ACEH UTARA,ACEH
MUARA BATU,ACEH UTARA,ACEH
DEWANTARA,ACEH UTARA,ACEH
MANGGENG,ACEH BARAT DAYA,ACEH
LEMBAH SABIL,ACEH BARAT DAYA,ACEH
TANGAN-TANGAN,ACEH BARAT DAYA,ACEH
SETIA,ACEH BARAT DAYA,ACEH
BLANG PIDIE,ACEH BARAT DAYA,ACEH
JEUMPA,ACEH BARAT DAYA,ACEH
SUSOH,ACEH BARAT DAYA,ACEH
KUALA BATEE,ACEH BARAT DAYA,ACEH
BABAH ROT,ACEH BARAT DAYA,ACEH
KUTA PANJANG,GAYO LUES,ACEH
BLANG JERANGO,GAYO LUES,ACEH
BLANGKEJEREN,GAYO LUES,ACEH
PUTRI BETUNG,GAYO LUES,ACEH
DABUN GELANG,GAYO LUES,ACEH
BLANG PEGAYON,GAYO LUES,ACEH
PINING,GAYO LUES,ACEH
RIKIT GAIB,GAYO LUES,ACEH
PANTAN CUACA,GAYO LUES,ACEH
TERANGUN,GAYO LUES,ACEH
TRIPE JAYA,GAYO LUES,ACEH
TAMIANG HULU,ACEH TAMIANG,ACEH
BANDAR PUSAKA,ACEH TAMIANG,ACEH
KEJURUAN MUDA,ACEH TAMIANG,ACEH
TENGGULUN,ACEH TAMIANG,ACEH
RANTAU,ACEH TAMIANG,ACEH
KOTA KUALA SIMPANG,ACEH TAMIANG,ACEH
SERUWAY,ACEH TAMIANG,ACEH
BENDAHARA,ACEH TAMIANG,ACEH
BANDA MULIA,ACEH TAMIANG,ACEH
KARANG BARU,ACEH TAMIANG,ACEH
SEKERAK,ACEH TAMIANG,ACEH
MANYAK PAYED,ACEH TAMIANG,ACEH
DARUL MAKMUR,NAGAN RAYA,ACEH
TRIPA MAKMUR,NAGAN RAYA,ACEH
KUALA,NAGAN RAYA,ACEH
KUALA PESISIR,NAGAN RAYA,ACEH
TADU RAYA,NAGAN RAYA,ACEH
BEUTONG,NAGAN RAYA,ACEH
BEUTONG ATEUH BANGGALANG,NAGAN RAYA,ACEH
SEUNAGAN,NAGAN RAYA,ACEH
SUKA MAKMUE,NAGAN RAYA,ACEH
SEUNAGAN TIMUR,NAGAN RAYA,ACEH
TEUNOM,ACEH JAYA,ACEH
PASIE RAYA,ACEH JAYA,ACEH
PANGA,ACEH JAYA,ACEH
KRUENG SABEE,ACEH JAYA,ACEH
SETIA BAKTI,ACEH JAYA,ACEH
SAMPOINIET,ACEH JAYA,ACEH
DARUL HIKMAH,ACEH JAYA,ACEH
JAYA,ACEH JAYA,ACEH
INDRA JAYA,ACEH JAYA,ACEH
TIMANG GAJAH,BENER MERIAH,ACEH
GAJAH PUTIH,BENER MERIAH,ACEH
PINTU RIME GAYO,BENER MERIAH,ACEH
BUKIT,BENER MERIAH,ACEH
WIH PESAM,BENER MERIAH,ACEH
BANDAR,BENER MERIAH,ACEH
BENER KELIPAH,BENER MERIAH,ACEH
SYIAH UTAMA,BENER MERIAH,ACEH
MESIDAH,BENER MERIAH,ACEH
PERMATA,BENER MERIAH,ACEH
MEUREUDU,PIDIE JAYA,ACEH
MEURAH DUA,PIDIE JAYA,ACEH
BANDAR DUA,PIDIE JAYA,ACEH
JANGKA BUYA,PIDIE JAYA,ACEH
ULIM,PIDIE JAYA,ACEH
TRIENGGADENG,PIDIE JAYA,ACEH
PANTERAJA,PIDIE JAYA,ACEH
BANDAR BARU,PIDIE JAYA,ACEH
MEURAXA,BANDA ACEH,ACEH
JAYA BARU,BANDA ACEH,ACEH
BANDA RAYA,BANDA ACEH,ACEH
BAITURRAHMAN,BANDA ACEH,ACEH
LUENG BATA,BANDA ACEH,ACEH
KUTA ALAM,BANDA ACEH,ACEH
KUTA RAJA,BANDA ACEH,ACEH
SYIAH KUALA,BANDA ACEH,ACEH
ULEE KARENG,BANDA ACEH,ACEH
SUKAJAYA,SABANG,ACEH
SUKAKARYA,SABANG,ACEH
LANGSA TIMUR,LANGSA,ACEH
LANGSA LAMA,LANGSA,ACEH
LANGSA BARAT,LANGSA,ACEH
LANGSA BARO,LANGSA,ACEH
LANGSA KOTA,LANGSA,ACEH
BLANG MANGAT,LHOKSEUMAWE,ACEH
MUARA DUA,LHOKSEUMAWE,ACEH
MUARA SATU,LHOKSEUMAWE,ACEH
BANDA SAKTI,LHOKSEUMAWE,ACEH
SIMPANG KIRI,SUBULUSSALAM,ACEH
PENANGGALAN,SUBULUSSALAM,ACEH
RUNDENG,SUBULUSSALAM,ACEH
SULTAN DAULAT,SUBULUSSALAM,ACEH
LONGKIB,SUBULUSSALAM,ACEH
IDANO GAWO,NIAS,SUMATERA UTARA
BAWOLATO,NIAS,SUMATERA UTARA
ULUGAWO,NIAS,SUMATERA UTARA
GIDO,NIAS,SUMATERA UTARA
SOGAEADU,NIAS,SUMATERA UTARA
MA U,NIAS,SUMATERA UTARA
SOMOLO - MOLO,NIAS,SUMATERA UTARA
HILIDUHO,NIAS,SUMATERA UTARA
HILI SERANGKAI,NIAS,SUMATERA UTARA
BOTOMUZOI,NIAS,SUMATERA UTARA
BATAHAN,MANDAILING NATAL,SUMATERA UTARA
SINUNUKAN,MANDAILING NATAL,SUMATERA UTARA
BATANG NATAL,MANDAILING NATAL,SUMATERA UTARA
LINGGA BAYU,MANDAILING NATAL,SUMATERA UTARA
RANTO BAEK,MANDAILING NATAL,SUMATERA UTARA
KOTANOPAN,MANDAILING NATAL,SUMATERA UTARA
ULU PUNGKUT,MANDAILING NATAL,SUMATERA UTARA
TAMBANGAN,MANDAILING NATAL,SUMATERA UTARA
LEMBAH SORIK MARAPI,MANDAILING NATAL,SUMATERA UTARA
PUNCAK SORIK MARAPI,MANDAILING NATAL,SUMATERA UTARA
MUARA SIPONGI,MANDAILING NATAL,SUMATERA UTARA
PAKANTAN,MANDAILING NATAL,SUMATERA UTARA
PANYABUNGAN,MANDAILING NATAL,SUMATERA UTARA
PANYABUNGAN SELATAN,MANDAILING NATAL,SUMATERA UTARA
PANYABUNGAN BARAT,MANDAILING NATAL,SUMATERA UTARA
PANYABUNGAN UTARA,MANDAILING NATAL,SUMATERA UTARA
PANYABUNGAN TIMUR,MANDAILING NATAL,SUMATERA UTARA
HUTA BARGOT,MANDAILING NATAL,SUMATERA UTARA
NATAL,MANDAILING NATAL,SUMATERA UTARA
MUARA BATANG GADIS,MANDAILING NATAL,SUMATERA UTARA
SIABU,MANDAILING NATAL,SUMATERA UTARA
BUKIT MALINTANG,MANDAILING NATAL,SUMATERA UTARA
NAGA JUANG,MANDAILING NATAL,SUMATERA UTARA
BATANG ANGKOLA,TAPANULI SELATAN,SUMATERA UTARA
SAYUR MATINGGI,TAPANULI SELATAN,SUMATERA UTARA
TANO TOMBANGAN ANGKOLA,TAPANULI SELATAN,SUMATERA UTARA
ANGKOLA TIMUR,TAPANULI SELATAN,SUMATERA UTARA
ANGKOLA SELATAN,TAPANULI SELATAN,SUMATERA UTARA
ANGKOLA  BARAT,TAPANULI SELATAN,SUMATERA UTARA
ANGKOLA SANGKUNUR,TAPANULI SELATAN,SUMATERA UTARA
BATANG TORU,TAPANULI SELATAN,SUMATERA UTARA
MARANCAR,TAPANULI SELATAN,SUMATERA UTARA
MUARA BATANG TORU,TAPANULI SELATAN,SUMATERA UTARA
SIPIROK,TAPANULI SELATAN,SUMATERA UTARA
ARSE,TAPANULI SELATAN,SUMATERA UTARA
SAIPAR DOLOK HOLE,TAPANULI SELATAN,SUMATERA UTARA
AEK BILAH,TAPANULI SELATAN,SUMATERA UTARA
PINANG SORI,TAPANULI TENGAH,SUMATERA UTARA
BADIRI,TAPANULI TENGAH,SUMATERA UTARA
SIBABANGUN,TAPANULI TENGAH,SUMATERA UTARA
LUMUT,TAPANULI TENGAH,SUMATERA UTARA
SUKABANGUN,TAPANULI TENGAH,SUMATERA UTARA
PANDAN,TAPANULI TENGAH,SUMATERA UTARA
TUKKA,TAPANULI TENGAH,SUMATERA UTARA
SARUDIK,TAPANULI TENGAH,SUMATERA UTARA
TAPIAN NAULI,TAPANULI TENGAH,SUMATERA UTARA
SITAHUIS,TAPANULI TENGAH,SUMATERA UTARA
KOLANG,TAPANULI TENGAH,SUMATERA UTARA
SORKAM,TAPANULI TENGAH,SUMATERA UTARA
SORKAM BARAT,TAPANULI TENGAH,SUMATERA UTARA
PASARIBU TOBING,TAPANULI TENGAH,SUMATERA UTARA
BARUS,TAPANULI TENGAH,SUMATERA UTARA
SOSOR GADONG,TAPANULI TENGAH,SUMATERA UTARA
ANDAM DEWI,TAPANULI TENGAH,SUMATERA UTARA
BARUS UTARA,TAPANULI TENGAH,SUMATERA UTARA
MANDUAMAS,TAPANULI TENGAH,SUMATERA UTARA
SIRANDORUNG,TAPANULI TENGAH,SUMATERA UTARA
PARMONANGAN,TAPANULI UTARA,SUMATERA UTARA
ADIANKOTING,TAPANULI UTARA,SUMATERA UTARA
SIPOHOLON,TAPANULI UTARA,SUMATERA UTARA
TARUTUNG,TAPANULI UTARA,SUMATERA UTARA
SIATAS BARITA,TAPANULI UTARA,SUMATERA UTARA
PAHAE JULU,TAPANULI UTARA,SUMATERA UTARA
PAHAE JAE,TAPANULI UTARA,SUMATERA UTARA
PURBATUA,TAPANULI UTARA,SUMATERA UTARA
SIMANGUMBAN,TAPANULI UTARA,SUMATERA UTARA
PANGARIBUAN,TAPANULI UTARA,SUMATERA UTARA
GAROGA,TAPANULI UTARA,SUMATERA UTARA
SIPAHUTAR,TAPANULI UTARA,SUMATERA UTARA
SIBORONGBORONG,TAPANULI UTARA,SUMATERA UTARA
PAGARAN,TAPANULI UTARA,SUMATERA UTARA
MUARA,TAPANULI UTARA,SUMATERA UTARA
BALIGE,TOBA SAMOSIR,SUMATERA UTARA
TAMPAHAN,TOBA SAMOSIR,SUMATERA UTARA
LAGUBOTI,TOBA SAMOSIR,SUMATERA UTARA
HABINSARAN,TOBA SAMOSIR,SUMATERA UTARA
BORBOR,TOBA SAMOSIR,SUMATERA UTARA
NASSAU,TOBA SAMOSIR,SUMATERA UTARA
SILAEN,TOBA SAMOSIR,SUMATERA UTARA
SIGUMPAR,TOBA SAMOSIR,SUMATERA UTARA
PORSEA,TOBA SAMOSIR,SUMATERA UTARA
PINTU POHAN MERANTI,TOBA SAMOSIR,SUMATERA UTARA
SIANTAR NARUMONDA,TOBA SAMOSIR,SUMATERA UTARA
PARMAKSIAN,TOBA SAMOSIR,SUMATERA UTARA
LUMBAN JULU,TOBA SAMOSIR,SUMATERA UTARA
ULUAN,TOBA SAMOSIR,SUMATERA UTARA
AJIBATA,TOBA SAMOSIR,SUMATERA UTARA
BONATUA LUNASI,TOBA SAMOSIR,SUMATERA UTARA
BILAH HULU,LABUHAN BATU,SUMATERA UTARA
PANGKATAN,LABUHAN BATU,SUMATERA UTARA
BILAH BARAT,LABUHAN BATU,SUMATERA UTARA
BILAH HILIR,LABUHAN BATU,SUMATERA UTARA
PANAI HULU,LABUHAN BATU,SUMATERA UTARA
PANAI TENGAH,LABUHAN BATU,SUMATERA UTARA
PANAI HILIR,LABUHAN BATU,SUMATERA UTARA
RANTAU SELATAN,LABUHAN BATU,SUMATERA UTARA
RANTAU UTARA,LABUHAN BATU,SUMATERA UTARA
BANDAR PASIR MANDOGE,ASAHAN,SUMATERA UTARA
BANDAR PULAU,ASAHAN,SUMATERA UTARA
AEK SONGSONGAN,ASAHAN,SUMATERA UTARA
RAHUNING,ASAHAN,SUMATERA UTARA
PULAU RAKYAT,ASAHAN,SUMATERA UTARA
AEK KUASAN,ASAHAN,SUMATERA UTARA
AEK LEDONG,ASAHAN,SUMATERA UTARA
SEI KEPAYANG,ASAHAN,SUMATERA UTARA
SEI KEPAYANG BARAT,ASAHAN,SUMATERA UTARA
SEI KEPAYANG TIMUR,ASAHAN,SUMATERA UTARA
TANJUNG BALAI,ASAHAN,SUMATERA UTARA
SIMPANG EMPAT,ASAHAN,SUMATERA UTARA
TELUK DALAM,ASAHAN,SUMATERA UTARA
AIR BATU,ASAHAN,SUMATERA UTARA
SEI DADAP,ASAHAN,SUMATERA UTARA
BUNTU PANE,ASAHAN,SUMATERA UTARA
TINGGI RAJA,ASAHAN,SUMATERA UTARA
SETIA JANJI,ASAHAN,SUMATERA UTARA
MERANTI,ASAHAN,SUMATERA UTARA
PULO BANDRING,ASAHAN,SUMATERA UTARA
RAWANG PANCA ARGA,ASAHAN,SUMATERA UTARA
AIR JOMAN,ASAHAN,SUMATERA UTARA
SILAU LAUT,ASAHAN,SUMATERA UTARA
KISARAN BARAT,ASAHAN,SUMATERA UTARA
KISARAN TIMUR,ASAHAN,SUMATERA UTARA
SILIMAKUTA,SIMALUNGUN,SUMATERA UTARA
PEMATANG SILIMAHUTA,SIMALUNGUN,SUMATERA UTARA
PURBA,SIMALUNGUN,SUMATERA UTARA
HARANGGAOL HORISON,SIMALUNGUN,SUMATERA UTARA
SIDAMANIK,SIMALUNGUN,SUMATERA UTARA
PEMATANG SIDAMANIK,SIMALUNGUN,SUMATERA UTARA
GIRSANG SIPANGAN BOLON,SIMALUNGUN,SUMATERA UTARA
TANAH JAWA,SIMALUNGUN,SUMATERA UTARA
HATONDUHAN,SIMALUNGUN,SUMATERA UTARA
DOLOK PANRIBUAN,SIMALUNGUN,SUMATERA UTARA
JORLANG HATARAN,SIMALUNGUN,SUMATERA UTARA
PANEI,SIMALUNGUN,SUMATERA UTARA
PANOMBEAN PANEI,SIMALUNGUN,SUMATERA UTARA
RAYA,SIMALUNGUN,SUMATERA UTARA
DOLOG MASAGAL,SIMALUNGUN,SUMATERA UTARA
DOLOK SILAU,SIMALUNGUN,SUMATERA UTARA
SILAU KAHEAN,SIMALUNGUN,SUMATERA UTARA
RAYA KAHEAN,SIMALUNGUN,SUMATERA UTARA
TAPIAN DOLOK,SIMALUNGUN,SUMATERA UTARA
DOLOK BATU NANGGAR,SIMALUNGUN,SUMATERA UTARA
SIANTAR,SIMALUNGUN,SUMATERA UTARA
GUNUNG MALELA,SIMALUNGUN,SUMATERA UTARA
GUNUNG MALIGAS,SIMALUNGUN,SUMATERA UTARA
HUTABAYU RAJA,SIMALUNGUN,SUMATERA UTARA
JAWA MARAJA BAH JAMBI,SIMALUNGUN,SUMATERA UTARA
PEMATANG BANDAR,SIMALUNGUN,SUMATERA UTARA
BANDAR HULUAN,SIMALUNGUN,SUMATERA UTARA
BANDAR,SIMALUNGUN,SUMATERA UTARA
BANDAR MASILAM,SIMALUNGUN,SUMATERA UTARA
BOSAR MALIGAS,SIMALUNGUN,SUMATERA UTARA
UJUNG PADANG,SIMALUNGUN,SUMATERA UTARA
SIDIKALANG,DAIRI,SUMATERA UTARA
BERAMPU,DAIRI,SUMATERA UTARA
SITINJO,DAIRI,SUMATERA UTARA
PARBULUAN,DAIRI,SUMATERA UTARA
SUMBUL,DAIRI,SUMATERA UTARA
SILAHISABUNGAN,DAIRI,SUMATERA UTARA
SILIMA PUNGGA-PUNGGA,DAIRI,SUMATERA UTARA
LAE PARIRA,DAIRI,SUMATERA UTARA
SIEMPAT NEMPU,DAIRI,SUMATERA UTARA
SIEMPAT NEMPU HULU,DAIRI,SUMATERA UTARA
SIEMPAT NEMPU HILIR,DAIRI,SUMATERA UTARA
TIGA LINGGA,DAIRI,SUMATERA UTARA
GUNUNG SITEMBER,DAIRI,SUMATERA UTARA
PEGAGAN HILIR,DAIRI,SUMATERA UTARA
TANAH PINEM,DAIRI,SUMATERA UTARA
MARDINGDING,KARO,SUMATERA UTARA
LAUBALENG,KARO,SUMATERA UTARA
TIGA BINANGA,KARO,SUMATERA UTARA
JUHAR,KARO,SUMATERA UTARA
MUNTE,KARO,SUMATERA UTARA
KUTA BULUH,KARO,SUMATERA UTARA
PAYUNG,KARO,SUMATERA UTARA
TIGANDERKET,KARO,SUMATERA UTARA
SIMPANG EMPAT,KARO,SUMATERA UTARA
NAMAN TERAN,KARO,SUMATERA UTARA
MERDEKA,KARO,SUMATERA UTARA
KABANJAHE,KARO,SUMATERA UTARA
BERASTAGI,KARO,SUMATERA UTARA
TIGAPANAH,KARO,SUMATERA UTARA
DOLAT RAYAT,KARO,SUMATERA UTARA
MEREK,KARO,SUMATERA UTARA
BARUSJAHE,KARO,SUMATERA UTARA
GUNUNG MERIAH,DELI SERDANG,SUMATERA UTARA
SINEMBAH TANJUNG MUDA HULU,DELI SERDANG,SUMATERA UTARA
SIBOLANGIT,DELI SERDANG,SUMATERA UTARA
KUTALIMBARU,DELI SERDANG,SUMATERA UTARA
PANCUR BATU,DELI SERDANG,SUMATERA UTARA
NAMO RAMBE,DELI SERDANG,SUMATERA UTARA
BIRU-BIRU,DELI SERDANG,SUMATERA UTARA
SINEMBAH TANJUNG MUDA HILIR,DELI SERDANG,SUMATERA UTARA
BANGUN PURBA,DELI SERDANG,SUMATERA UTARA
GALANG,DELI SERDANG,SUMATERA UTARA
TANJUNG MORAWA,DELI SERDANG,SUMATERA UTARA
PATUMBAK,DELI SERDANG,SUMATERA UTARA
DELI TUA,DELI SERDANG,SUMATERA UTARA
SUNGGAL,DELI SERDANG,SUMATERA UTARA
HAMPARAN PERAK,DELI SERDANG,SUMATERA UTARA
LABUHAN DELI,DELI SERDANG,SUMATERA UTARA
PERCUT SEI TUAN,DELI SERDANG,SUMATERA UTARA
BATANG KUIS,DELI SERDANG,SUMATERA UTARA
PANTAI LABU,DELI SERDANG,SUMATERA UTARA
BERINGIN,DELI SERDANG,SUMATERA UTARA
LUBUK PAKAM,DELI SERDANG,SUMATERA UTARA
PAGAR MERBAU,DELI SERDANG,SUMATERA UTARA
BOHOROK,LANGKAT,SUMATERA UTARA
SIRAPIT,LANGKAT,SUMATERA UTARA
SALAPIAN,LANGKAT,SUMATERA UTARA
KUTAMBARU,LANGKAT,SUMATERA UTARA
SEI BINGAI,LANGKAT,SUMATERA UTARA
KUALA,LANGKAT,SUMATERA UTARA
SELESAI,LANGKAT,SUMATERA UTARA
BINJAI,LANGKAT,SUMATERA UTARA
STABAT,LANGKAT,SUMATERA UTARA
WAMPU,LANGKAT,SUMATERA UTARA
BATANG SERANGAN,LANGKAT,SUMATERA UTARA
SAWIT SEBERANG,LANGKAT,SUMATERA UTARA
PADANG TUALANG,LANGKAT,SUMATERA UTARA
HINAI,LANGKAT,SUMATERA UTARA
SECANGGANG,LANGKAT,SUMATERA UTARA
TANJUNG PURA,LANGKAT,SUMATERA UTARA
GEBANG,LANGKAT,SUMATERA UTARA
BABALAN,LANGKAT,SUMATERA UTARA
SEI LEPAN,LANGKAT,SUMATERA UTARA
BRANDAN BARAT,LANGKAT,SUMATERA UTARA
BESITANG,LANGKAT,SUMATERA UTARA
PANGKALAN SUSU,LANGKAT,SUMATERA UTARA
PEMATANG JAYA,LANGKAT,SUMATERA UTARA
HIBALA,NIAS SELATAN,SUMATERA UTARA
TANAH MASA,NIAS SELATAN,SUMATERA UTARA
